,precision,recall,f1-score,support
Normal,0.9513888888888888,0.9785714285714285,0.9647887323943661,280.0
Pneumonia,0.9855769230769231,0.9669811320754716,0.976190476190476,424.0
Virus,0.8955223880597015,0.8450704225352113,0.8695652173913043,284.0
Bacteria,0.75177304964539,0.7571428571428571,0.7544483985765125,140.0
COVID,1.0,1.0,1.0,144.0
micro avg,0.933969769291965,0.9229559748427673,0.9284302095689996,1272.0
macro avg,0.9168522499341808,0.9095531680649938,0.9129985649105319,1272.0
weighted avg,0.9338444099314577,0.9229559748427673,0.9281642331092976,1272.0
samples avg,0.9327651515151515,0.9261363636363636,0.9278409090909091,1272.0
-,-,-,-,-
Accuracy_Score,0.8721590909090909,0.8721590909090909,0.8721590909090909,0.8721590909090909
Hamming_Loss,0.05142045454545455,0.05142045454545455,0.05142045454545455,0.05142045454545455
