,precision,recall,f1-score,support
Normal,0.9647887323943662,0.9785714285714285,0.9716312056737589,280.0
Pneumonia,0.9756944444444444,0.9623287671232876,0.9689655172413792,292.0
Virus,0.75,0.7697368421052632,0.7597402597402596,152.0
Bacteria,0.7744360902255639,0.7357142857142858,0.7545787545787546,140.0
COVID,1.0,1.0,1.0,12.0
micro avg,0.9014891179839634,0.8984018264840182,0.8999428244711263,876.0
macro avg,0.8929838534128749,0.889270264702853,0.8909831474468305,876.0
weighted avg,0.9012153829677846,0.8984018264840182,0.8996760430875346,876.0
samples avg,0.9201631701631701,0.916958041958042,0.9160256410256411,876.0
-,-,-,-,-
Accuracy_Score,0.8444055944055944,0.8444055944055944,0.8444055944055944,0.8444055944055944
Hamming_Loss,0.06118881118881119,0.06118881118881119,0.06118881118881119,0.06118881118881119
