,precision,recall,f1-score,support
Normal,0.9808429118773946,0.9142857142857143,0.9463955637707948,280.0
Pneumonia,0.945823927765237,0.9882075471698113,0.9665513264129182,424.0
Virus,0.8239202657807309,0.8732394366197183,0.8478632478632478,284.0
Bacteria,0.7111111111111111,0.6857142857142857,0.6981818181818182,140.0
COVID,0.9861111111111112,0.9861111111111112,0.9861111111111112,144.0
micro avg,0.9042056074766355,0.9127358490566038,0.9084507042253522,1272.0
macro avg,0.889561865529117,0.8895116189801282,0.8890206134679779,1272.0
weighted avg,0.9050426664586588,0.9127358490566038,0.9082917745232051,1272.0
samples avg,0.9043560606060607,0.9045928030303029,0.9009943181818181,1272.0
-,-,-,-,-
Accuracy_Score,0.8110795454545454,0.8110795454545454,0.8110795454545454,0.8110795454545454
Hamming_Loss,0.06647727272727273,0.06647727272727273,0.06647727272727273,0.06647727272727273
