,precision,recall,f1-score,support
Normal,0.985239852398524,0.9535714285714286,0.9691470054446462,280.0
Pneumonia,0.9568106312292359,0.9863013698630136,0.9713322091062394,292.0
Virus,0.7985074626865671,0.7039473684210527,0.7482517482517482,152.0
Bacteria,0.7337662337662337,0.8071428571428572,0.7687074829931972,140.0
COVID,1.0,0.6666666666666666,0.8,12.0
micro avg,0.902073732718894,0.8938356164383562,0.8979357798165138,876.0
macro avg,0.8948648360161122,0.8235259381330039,0.8514876891591662,876.0
weighted avg,0.9033747374956103,0.8938356164383562,0.8971957533525526,876.0
samples avg,0.9204545454545454,0.9087995337995337,0.9105477855477856,876.0
-,-,-,-,-
Accuracy_Score,0.8234265734265734,0.8234265734265734,0.8234265734265734,0.8234265734265734
Hamming_Loss,0.062237762237762236,0.062237762237762236,0.062237762237762236,0.062237762237762236
