,precision,recall,f1-score,support
Normal,0.9124579124579124,0.9678571428571429,0.9393414211438476,280.0
Pneumonia,0.975609756097561,0.9433962264150944,0.9592326139088728,424.0
Virus,0.8625954198473282,0.795774647887324,0.8278388278388278,284.0
Bacteria,0.744,0.6642857142857143,0.7018867924528301,140.0
COVID,1.0,0.9166666666666666,0.9565217391304348,144.0
micro avg,0.9151712887438825,0.8820754716981132,0.8983186549239391,1272.0
macro avg,0.8989326176805603,0.8575960796223884,0.8769642788949626,1272.0
weighted avg,0.9137451661243887,0.8820754716981132,0.8968865838852557,1272.0
samples avg,0.9083806818181818,0.8925189393939393,0.8964488636363637,1272.0
-,-,-,-,-
Accuracy_Score,0.8238636363636364,0.8238636363636364,0.8238636363636364,0.8238636363636364
Hamming_Loss,0.07215909090909091,0.07215909090909091,0.07215909090909091,0.07215909090909091
