,precision,recall,f1-score,support
Normal,0.9716312056737588,0.9785714285714285,0.9750889679715302,280.0
Pneumonia,0.9834123222748815,0.9787735849056604,0.9810874704491727,424.0
Virus,0.8943396226415095,0.8345070422535211,0.8633879781420766,284.0
Bacteria,0.7762237762237763,0.7928571428571428,0.784452296819788,140.0
COVID,1.0,0.9513888888888888,0.9750889679715302,144.0
micro avg,0.9399519615692554,0.9229559748427673,0.9313764379214597,1272.0
macro avg,0.9251213853627853,0.9072196174953284,0.9158211362708195,1272.0
weighted avg,0.9400057733763519,0.9229559748427673,0.9311669160672155,1272.0
samples avg,0.9396306818181818,0.9277935606060606,0.9311079545454546,1272.0
-,-,-,-,-
Accuracy_Score,0.8664772727272727,0.8664772727272727,0.8664772727272727,0.8664772727272727
Hamming_Loss,0.049147727272727273,0.049147727272727273,0.049147727272727273,0.049147727272727273
