,precision,recall,f1-score,support
Normal,0.9712230215827338,0.9642857142857143,0.967741935483871,280.0
Pneumonia,0.9661016949152542,0.976027397260274,0.9710391822827938,292.0
Virus,0.7597402597402597,0.7697368421052632,0.7647058823529412,152.0
Bacteria,0.7954545454545454,0.75,0.7720588235294118,140.0
COVID,0.9230769230769231,1.0,0.9600000000000001,12.0
micro avg,0.9048165137614679,0.9006849315068494,0.9027459954233409,876.0
macro avg,0.8831192889539432,0.8920099907302503,0.8871091647298035,876.0
weighted avg,0.9040698857071902,0.9006849315068494,0.9022314070477448,876.0
samples avg,0.9195804195804196,0.9152097902097902,0.91497668997669,876.0
-,-,-,-,-
Accuracy_Score,0.8426573426573427,0.8426573426573427,0.8426573426573427,0.8426573426573427
Hamming_Loss,0.05944055944055944,0.05944055944055944,0.05944055944055944,0.05944055944055944
