,precision,recall,f1-score,support
Normal,0.9381443298969072,0.975,0.9562171628721542,280.0
Pneumonia,0.9830508474576272,0.9575471698113207,0.970131421744325,424.0
Virus,0.862453531598513,0.8169014084507042,0.8390596745027126,284.0
Bacteria,0.7338129496402878,0.7285714285714285,0.7311827956989246,140.0
COVID,1.0,0.9166666666666666,0.9565217391304348,144.0
micro avg,0.9204180064308681,0.9001572327044025,0.9101748807631161,1272.0
macro avg,0.903492331718667,0.8789373347000241,0.8906225587897103,1272.0
weighted avg,0.9207268770572216,0.9001572327044025,0.9099639919930813,1272.0
samples avg,0.9206912878787878,0.9086174242424242,0.9114583333333333,1272.0
-,-,-,-,-
Accuracy_Score,0.8366477272727273,0.8366477272727273,0.8366477272727273,0.8366477272727273
Hamming_Loss,0.06420454545454546,0.06420454545454546,0.06420454545454546,0.06420454545454546
