,precision,recall,f1-score,support
Normal,0.9676258992805755,0.9607142857142857,0.96415770609319,280.0
Pneumonia,0.9741784037558685,0.9787735849056604,0.9764705882352941,424.0
Virus,0.8225255972696246,0.8485915492957746,0.8353552859618718,284.0
Bacteria,0.7050359712230215,0.7,0.7025089605734767,140.0
COVID,0.9850746268656716,0.9166666666666666,0.949640287769784,144.0
micro avg,0.9094488188976378,0.9080188679245284,0.908733280881196,1272.0
macro avg,0.8908880996789523,0.8809492173164776,0.8856265657267233,1272.0
weighted avg,0.9104873796033826,0.9080188679245284,0.9090629278696266,1272.0
samples avg,0.9171401515151515,0.9138257575757575,0.9112892316017316,1272.0
-,-,-,-,-
Accuracy_Score,0.8224431818181818,0.8224431818181818,0.8224431818181818,0.8224431818181818
Hamming_Loss,0.0659090909090909,0.0659090909090909,0.0659090909090909,0.0659090909090909
