,precision,recall,f1-score,support
Normal,0.9319727891156463,0.9785714285714285,0.9547038327526133,280.0
Pneumonia,0.9783393501805054,0.928082191780822,0.952548330404218,292.0
Virus,0.7164179104477612,0.631578947368421,0.6713286713286712,152.0
Bacteria,0.717741935483871,0.6357142857142857,0.6742424242424243,140.0
COVID,0.8181818181818182,0.75,0.7826086956521738,12.0
micro avg,0.8797619047619047,0.843607305936073,0.8613053613053614,876.0
macro avg,0.8325307606819203,0.7847893706869914,0.8070863908760202,876.0
weighted avg,0.8742295049989407,0.843607305936073,0.8576351454708754,876.0
samples avg,0.8951048951048951,0.8767482517482518,0.881876456876457,876.0
-,-,-,-,-
Accuracy_Score,0.7902097902097902,0.7902097902097902,0.7902097902097902,0.7902097902097902
Hamming_Loss,0.08321678321678322,0.08321678321678322,0.08321678321678322,0.08321678321678322
